# Alle data i liter. Punktum som desimal. Komma som skilleteikn.
# Elevnummer er tilfeldig trekt frå klasselista. 
elev,dato,ukedag,håndvask,dusj,drikkevann,toalett,matlaging,oppvask,klesvask,annet
5,2024-09-16,mandag,20.2,90.0,1.8,63.0,5,16.0,13.0,1.0
5,2024-09-17,tirsdag,31.5,72.0,1.6,72.0,4,6.75,13.0,1.0
5,2024-09-18,onsdag,20.7,162.0,1.8,63.0,4,10.8,13.0,1.0
5,2024-09-19,torsdag,20.7,90.0,1.8,63.0,3,20.0,15.0,1.0
5,2024-09-20,fredag,22.7,63.0,1.6,63.0,4,18.0,13.0,1.0
5,2024-09-21,lørdag,24.3,108.0,1.7,63.0,8,16.0,13.0,2.0
5,2024-09-22,søndag,21.6,63.0,1.8,72.0,3,15.0,13.0,5.0
6,2024-09-16,mandag,14.8,33.0,2.2,35.0,0.4,3.0,0.0,0.0
6,2024-09-17,tirsdag,18.3,60.0,2.6,40.0,0.2,3.0,11.2,0.3
6,2024-09-18,onsdag,30.6,73.3,3.5,50.0,0.7,3.0,41.0,0.2
6,2024-09-19,torsdag,18.3,53.3,2.5,45.0,1.2,6.0,82.0,0.3
6,2024-09-20,fredag,21.8,40.0,3.0,30.0,0.2,0.0,0.0,0.0
6,2024-09-21,lørdag,12.6,66.6,3.4,35.0,0,0.0,0.0,0.0
6,2024-09-22,søndag,14.6,100.0,4.0,40.0,0.5,0.0,0.0,0.0
7,2024-09-16,mandag,2.4,0.0,1.5,18.0,0,0.0,0.0,0.0
7,2024-09-17,tirsdag,3.0,0.0,2.0,24.0,0,0.0,0.0,0.0
7,2024-09-18,onsdag,2.0,171.0,2.5,18.0,0,0.0,0.0,0.0
7,2024-09-19,torsdag,3.0,0.0,0.0,36.0,0,6.0,24.0,0.0
7,2024-09-20,fredag,3.0,162.0,3.0,36.0,0,3.0,0.0,0.0
7,2024-09-21,lørdag,6.0,0.0,3.0,30.0,0.4,3.5,0.0,0.0
7,2024-09-22,søndag,5.0,132.0,4.0,36.0,2,17.0,0.0,0.0
8,2024-09-16,mandag,8.0,257.0,2.0,21.0,0,65.0,0.0,0.0
8,2024-09-17,tirsdag,20.0,300.0,1.7,20.0,10,42.0,0.0,0.0
8,2024-09-18,onsdag,30.0,340.0,4.0,33.0,0,50.0,60.0,0.0
8,2024-09-19,torsdag,30.0,250.0,2.0,70.0,30,0.0,0.0,0.0
8,2024-09-20,fredag,20.0,280.0,2.0,60.0,10,30.0,30.0,0.0
8,2024-09-21,lørdag,20.0,200.0,3.0,60.0,10,20.0,100.0,0.0
8,2024-09-22,søndag,30.0,300.0,2.0,60.0,20,90.0,100.0,0.0
9,2024-09-16,mandag,5.715,0.0,0.0,6.0,0,0.0,0.0,9.9
9,2024-09-17,tirsdag,3.0,20.96,0.8,6.0,2,8.9,0.0,0.0
9,2024-09-18,onsdag,1.8,22.2,0.8,4.0,0.65,10.5,4.4,14.1
9,2024-09-19,torsdag,0.6,93.7,1.3,4.0,0,0.0,0.0,0.0
9,2024-09-20,fredag,2.7,0.0,0.3,6.0,0,0.0,0.0,22.3
9,2024-09-21,lørdag,1.5,0.0,0.8,4.0,0.65,0.0,0.0,0.0
9,2024-09-22,søndag,1.9,199.16,0.3,6.0,0,0.0,0.0,0.0
10,2024-09-16,mandag,5.2,0.0,1.25,24.0,1.5,13.0,11.5,0.0
10,2024-09-17,tirsdag,14.5,12.8,0.5,36.0,0,15.0,0.0,0.0
10,2024-09-18,onsdag,5.8,13.4,2.0,30.0,1.5,3.0,11.25,0.0
10,2024-09-19,torsdag,5.2,0.0,1.3,24.0,0.6,11.25,11.25,0.0
10,2024-09-20,fredag,7.5,12.8,1.16,36.0,0,0.0,11.25,0.0
10,2024-09-21,lørdag,6.1,0.0,1.5,36.0,0.3,14.25,11.25,0.0
10,2024-09-22,søndag,4.0,14.2,0.3,24.0,0.25,13.25,11.25,0.0
11,2024-09-16,mandag,0.3,0.0,3.0,5.0,3,10.0,0.0,1.0
11,2024-09-17,tirsdag,10.0,70.0,2.0,30.0,1,13.0,0.0,0.0
11,2024-09-18,onsdag,10.0,80.0,2.0,15.0,2,10.0,15.0,0.0
11,2024-09-19,torsdag,8.0,50.0,2.5,30.0,1,8.0,0.0,0.0
11,2024-09-20,fredag,15.0,60.0,2.0,24.0,0.5,10.0,15.0,0.0
11,2024-09-21,lørdag,10.0,50.0,2.0,24.0,0.3,6.0,15.0,0.0
11,2024-09-22,søndag,13.0,70.0,2.0,30.0,1,12.0,15.0,0.0
12,2024-09-16,mandag,75.0,120.0,2.7,18.0,0,1.8,9.4,0.0
12,2024-09-17,tirsdag,75.0,180.0,2.8,16.0,0,1.8,9.4,0.0
12,2024-09-18,onsdag,75.0,150.0,2.4,18.0,0,1.8,9.4,0.0
12,2024-09-19,torsdag,75.0,170.0,2.8,18.0,0,3.6,9.4,0.0
12,2024-09-20,fredag,75.0,180.0,3.0,25.0,0,1.8,9.4,0.0
12,2024-09-21,lørdag,75.0,170.0,3.2,18.0,0,3.6,0.0,0.0
12,2024-09-22,søndag,75.0,180.0,2.5,18.0,0,3.6,9.4,40.0
13,2024-09-16,mandag,40.0,300.0,2.5,28.0,3,80.0,12.0,7.5
13,2024-09-17,tirsdag,10.0,250.0,3.0,28.0,4,40.0,15.0,7.0
13,2024-09-18,onsdag,29.0,290.0,3.0,40.0,1,30.0,0.0,0.0
13,2024-09-19,torsdag,10.0,140.0,2.8,28.0,0,0.0,0.0,10.0
13,2024-09-20,fredag,16.0,90.0,3.2,40.0,1.5,49.0,0.0,2.0
13,2024-09-21,lørdag,9.0,245.0,2.7,35.0,0,70.0,100.0,0.0
13,2024-09-22,søndag,7.0,45.0,2.0,25.0,0.3,15.0,0.0,0.0
14,2024-09-16,mandag,20.2,135.0,2.3,24.0,1,13.0,0.0,0.0
14,2024-09-17,tirsdag,18.0,270.0,2.6,81.0,1,43.0,0.0,0.0
14,2024-09-18,onsdag,18.0,250.0,2.4,47.0,1,4.0,0.0,0.0
14,2024-09-19,torsdag,20.0,150.0,2.6,30.0,1,4.0,0.0,0.0
14,2024-09-20,fredag,10.0,140.0,2.2,48.0,1,4.0,0.0,0.0
14,2024-09-21,lørdag,60.0,240.0,4.0,50.0,0,0.0,0.0,0.0
14,2024-09-22,søndag,40.0,240.0,3.9,55.0,0,0.0,0.0,0.0
15,2024-09-16,mandag,22.0,84.0,6.0,32.0,5,10.0,0.0,0.0
15,2024-09-17,tirsdag,15.0,24.0,4.0,26.0,16,0.0,0.0,0.0
15,2024-09-18,onsdag,20.0,70.0,5.6,7.9,0,0.0,0.0,200.0
15,2024-09-19,torsdag,15.0,87.0,7.5,20.0,10,12.0,0.0,0.0
15,2024-09-20,fredag,35.0,173.0,2.4,25.0,4,5.0,0.0,0.0
15,2024-09-21,lørdag,27.8,130.6,6.7,20.6,17.4,15.0,0.0,0.0
15,2024-09-22,søndag,13.8,189.0,2.6,15.0,0,0.0,0.0,0.0
16,2024-09-16,mandag,63.0,0.0,2.6,48.0,1.6,7.48,0.0,0.0
16,2024-09-17,tirsdag,66.254,45.36,1.8,48.0,0.3,8.146,0.0,2.0
16,2024-09-18,onsdag,54.5642,36.4,1.4,42.0,0.8,7.52,10.8,0.0
16,2024-09-19,torsdag,74.732,0.0,1.6,60.0,0,4.8,0.0,0.0
16,2024-09-20,fredag,51.7,28.0,1.8,42.0,0.4,4.8,0.0,0.0
16,2024-09-21,lørdag,48.1,33.6,1.6,64.0,0,7.3,16.25,0.0
16,2024-09-22,søndag,36.0,100.8,2.2,18.0,0.4,0.0,0.0,0.0
17,2024-09-16,mandag,27.43,16.96,15.05,40.0,0.375,0.4,14.3,0.0
17,2024-09-17,tirsdag,9.096,26.08,1.55,36.0,0.3,4.0,22.5,0.0
17,2024-09-18,onsdag,14.6,248.0,1.8,24.0,0,0.0,0.0,0.0
17,2024-09-19,torsdag,15.38,217.0,0.7,38.0,0,0.0,15.0,0.0
17,2024-09-20,fredag,17.26,23.128,1.8,38.0,0,0.0,7.65,0.0
17,2024-09-21,lørdag,12.369,0.0,1.5,38.0,0,0.0,0.0,0.0
17,2024-09-22,søndag,13.347,0.0,1.35,24.0,0,0.0,0.0,0.0
18,2024-09-16,mandag,,6.5,0.0,3.3,45,0.133333333333,10.0,13.3
18,2024-09-17,tirsdag,40.0,6.0,1.1,40.0,0.4,10.0,10.0,0.0
18,2024-09-18,onsdag,10.0,70.0,2.9,40.0,1.05,4.0,10.0,0.0
18,2024-09-19,torsdag,16.0,19.0,3.05,60.0,0.75,6.0,20.0,0.0
18,2024-09-20,fredag,7.0,0.0,1.7,35.0,1,3.0,10.0,0.0
18,2024-09-21,lørdag,10.0,100.0,0.4,40.0,1,6.0,0.0,0.0
18,2024-09-22,søndag,8.0,46.0,0.4,55.0,,6.0,10.0,0.0
19,2024-09-16,mandag,18.75,28.6,1.2,18.0,0.5,4.4,10.05,0.0
19,2024-09-17,tirsdag,9.75,0.0,1.4,6.0,0.75,4.0,10.0,0.0
19,2024-09-18,onsdag,21.0,28.05,1.4,24.0,1,5.6,10.0,0.0
19,2024-09-19,torsdag,16.5,0.0,1.6,24.0,0,6.0,10.0,0.0
19,2024-09-20,fredag,9.0,0.0,1.0,18.0,0,3.0,0.0,0.0
19,2024-09-21,lørdag,4.5,99.0,2.0,30.0,0.1,2.0,0.0,0.0
19,2024-09-22,søndag,4.5,28.6,1.2,18.0,0.5,3.0,0.0,0.0
20,2024-09-16,mandag,3.6,0.0,0.0,20.0,0,0.0,0.0,0.0
20,2024-09-17,tirsdag,2.3,0.0,1.2,20.0,0,0.0,0.0,0.0
20,2024-09-18,onsdag,3.3,53.0,0.0,30.0,0,0.0,0.0,0.0
20,2024-09-19,torsdag,2.5,0.0,1.8,20.0,0,0.0,0.0,0.0
20,2024-09-20,fredag,4.9,0.0,0.9,35.0,0,0.0,0.0,0.0
20,2024-09-21,lørdag,5.0,129.0,0.0,30.0,0.15,7.0,4.0,0.0
20,2024-09-22,søndag,5.5,0.0,0.0,30.0,0,0.0,0.0,0.0
21,2024-09-16,mandag,0.6,0.0,0.35,0.0,1.3,0.0,0.0,0.0
21,2024-09-17,tirsdag,0.1,0.0,0.3,0.0,2,0.3,0.0,0.0
21,2024-09-18,onsdag,0.2,0.0,0.0,6.0,0.5,9.7,0.0,0.1
21,2024-09-19,torsdag,0.2,0.0,0.4,6.0,0,9.0,0.0,0.1
21,2024-09-20,fredag,0.2,0.0,0.7,9.0,0,0.0,0.0,0.0
21,2024-09-21,lørdag,0.3,0.0,0.7,9.0,0,19.0,0.0,0.0
21,2024-09-22,søndag,0.2,0.0,0.7,6.0,0,9.5,0.0,0.1
22,2024-09-16,mandag,10.3,0.0,2.1,20.0,0.4,2.38,0.0,0.0
22,2024-09-17,tirsdag,22.4,100.0,1.3,32.0,0,2.38,14.5,0.0
22,2024-09-18,onsdag,20.5,0.0,1.6,24.0,0,0.0,0.0,0.0
22,2024-09-19,torsdag,19.1,96.25,0.8,16.0,0.15,24.68,14.5,0.0
22,2024-09-20,fredag,14.2,0.0,1.1,16.0,0,0.0,0.0,0.0
22,2024-09-21,lørdag,14.1,67.7,1.8,24.0,0,2.38,14.5,0.0
22,2024-09-22,søndag,,17.1,0.0,1.4,24,0.0,2.38,43.5
23,2024-09-16,mandag,30.0,320.0,3.0,70.0,17,50.0,0.0,0.0
23,2024-09-17,tirsdag,18.0,320.0,5.0,11.0,7,11.0,50.0,0.0
23,2024-09-18,onsdag,20.0,340.0,345.0,22.0,3,20.0,0.0,0.0
23,2024-09-19,torsdag,30.0,450.0,5.0,11.0,0,11.0,50.0,0.0
23,2024-09-20,fredag,25.0,320.0,3.5,35.0,5,70.0,0.0,0.0
23,2024-09-21,lørdag,40.0,340.0,4.0,70.0,8,100.0,50.0,0.0
23,2024-09-22,søndag,82.0,370.0,5.0,40.0,7,40.0,50.0,0.0
24,2024-09-16,mandag,6.0,64.0,1.4,15.0,0,0.0,60.0,0.0
24,2024-09-17,tirsdag,4.4,32.0,2.3,9.0,0,0.0,40.0,0.0
24,2024-09-18,onsdag,6.4,32.0,1.9,18.0,0,0.0,40.0,0.0
24,2024-09-19,torsdag,14.4,41.0,1.0,15.0,0,25.0,0.0,0.0
24,2024-09-20,fredag,15.0,0.0,0.4,9.0,0,0.0,0.0,0.0
24,2024-09-21,lørdag,12.2,40.0,1.0,9.0,0,0.0,0.0,0.0
24,2024-09-22,søndag,13.0,0.0,1.3,9.0,0,0.0,20.0,0.0
25,2024-09-16,mandag,7.0,56.0,1.5,18.0,2,9.0,0.0,0.0
25,2024-09-17,tirsdag,3.75,40.0,1.5,12.0,0,0.0,43.0,4.0
25,2024-09-18,onsdag,7.5,120.0,0.6,30.0,0,0.0,43.0,5.0
25,2024-09-19,torsdag,6.25,98.4,0.6,24.0,0,0.0,0.0,5.0
25,2024-09-20,fredag,7.5,136.0,2.4,36.0,0,9.0,0.0,4.0
25,2024-09-21,lørdag,5.0,136.0,0.6,18.0,1,18.0,0.0,10.0
25,2024-09-22,søndag,7.5,136.0,0.5,30.0,0,9.0,0.0,0.0
26,2024-09-16,mandag,0.19,0.0,0.6,24.0,0,0.0,0.0,0.0
26,2024-09-17,tirsdag,0.23,0.0,0.7,2.1,0,4.0,7.0,0.0
26,2024-09-18,onsdag,1.5,24.0,1.0,1.2,0,4.0,7.0,0.0
26,2024-09-19,torsdag,2.3,0.0,0.6,2.7,0,4.0,7.0,0.0
26,2024-09-20,fredag,2.7,0.0,0.6,2.7,0,4.0,7.0,0.0
26,2024-09-21,lørdag,1.4,32.0,0.6,33.0,0,4.0,7.0,0.0
26,2024-09-22,søndag,1.4,16.0,0.4,24.0,0,4.0,7.0,0.0
27,2024-09-16,mandag,4.0,0.0,5.0,30.0,0,3.0,0.0,2.0
27,2024-09-17,tirsdag,6.0,210.0,4.0,20.0,1,4.0,30.0,1.0
27,2024-09-18,onsdag,17.9,219.0,3.0,20.0,0,5.0,10.0,0.0
27,2024-09-19,torsdag,17.7,351.4,3.3,16.0,0,5.0,10.0,0.0
27,2024-09-20,fredag,15.0,170.0,2.0,16.0,1,0.0,5.0,0.0
27,2024-09-21,lørdag,23.0,280.8,2.0,14.0,0,4.0,10.0,0.0
27,2024-09-22,søndag,18.0,350.0,3.3,16.0,0,4.0,0.0,0.5
28,2024-09-16,mandag,9.6,31.5,2.5,64.0,0.6,3.4,0.0,3.5
28,2024-09-17,tirsdag,8.2,0.0,1.8,56.0,0.3,9.0,9.0,11.0
28,2024-09-18,onsdag,6.5,81.0,1.3,32.0,0.5,50.0,0.0,0.4
28,2024-09-19,torsdag,10.0,66.0,2.8,72.0,0.5,5.0,8.0,0.0
28,2024-09-20,fredag,7.6,0.0,0.7,32.0,0.4,2.0,0.0,0.0
28,2024-09-21,lørdag,3.9,58.8,0.4,32.0,0.4,6.0,8.0,0.0
28,2024-09-22,søndag,5.3,42.0,1.0,32.0,2,4.0,8.0,7.0
29,2024-09-16,mandag,5.2,0.0,1.7,21.0,0,2.375,10.5,15.7
29,2024-09-17,tirsdag,4.9,46.28,1.17,21.0,0,2.375,0.0,13.3
29,2024-09-18,onsdag,6.2,0.0,0.3,17.0,0,4.75,10.0,15.6
29,2024-09-19,torsdag,5.6,56.03,1.7,17.0,4.5,2.375,11.0,12.4
29,2024-09-20,fredag,5.2,0.0,0.2,22.0,0,4.75,14.5,16.2
29,2024-09-21,lørdag,5.7,0.0,0.0,13.0,0,2.375,10.0,16.9
29,2024-09-22,søndag,5.5,585.0,0.0,26.0,0,4.75,5.5,24.0
30,2024-09-16,mandag,26.1,251.2,0.6,12.0,0.525,5.6,0.0,1.4
30,2024-09-17,tirsdag,24.65,87.0,0.3,24.0,0.225,5.8,0.0,0.0
30,2024-09-18,onsdag,12.325,206.625,1.5,6.0,0.15,2.85,22.5,2.8
30,2024-09-19,torsdag,21.6,60.9,1.1,24.0,2.75,7.4,0.0,2.2
30,2024-09-20,fredag,24.65,104.4,1.05,30.0,9.5,1.2,0.0,2.3
30,2024-09-21,lørdag,15.4,130.5,2.45,12.0,8.75,2.8,0.0,1.6
30,2024-09-22,søndag,15.4,134.5,1.05,12.0,3,0.0,0.0,1.1
31,2024-09-16,mandag,27.6,8.6,2.4,23.0,0,0.0,0.0,0.0
31,2024-09-17,tirsdag,25.2,0.0,1.4,15.0,0,10.0,0.0,8.6
31,2024-09-18,onsdag,23.1,25.8,3.1,12.0,0,2.0,10.5,9.3
31,2024-09-19,torsdag,20.1,0.0,3.0,9.0,0,4.0,10.5,10.3
31,2024-09-20,fredag,30.8,0.0,5.0,18.0,0,6.0,31.5,0.0
31,2024-09-21,lørdag,30.3,14.4,5.0,25.0,0,4.0,21.0,18.0
31,2024-09-22,søndag,24.0,11.4,4.2,20.0,0,0.0,0.0,8.2
